RequestNumber,Index Name,INDEX_NAME,Date,Open,High,Low,Close,Date_2
His63865831593827869200,,Nifty 50,10-Dec-21,17476.05,17534.35,17405.25,17511.3,10/12/2021
His63865831593827869200,,Nifty 50,13-Dec-21,17619.1,17639.5,17355.95,17368.25,13/12/2021
His63865831593827869200,,Nifty 50,14-Dec-21,17283.2,17376.2,17225.8,17324.9,14/12/2021
His63865831593827869200,,Nifty 50,15-Dec-21,17323.65,17351.2,17192.2,17221.4,15/12/2021
His63865831593827869200,,Nifty 50,16-Dec-21,17373,17379.35,17184.95,17248.4,16/12/2021
His63865831593827869200,,Nifty 50,17-Dec-21,17276,17298.15,16966.45,16985.2,17/12/2021
His63865831593827869200,,Nifty 50,20-Dec-21,16824.25,16840.1,16410.2,16614.2,20/12/2021
His63865831593827869200,,Nifty 50,21-Dec-21,16773.15,16936.4,16688.25,16770.85,21/12/2021
His63865831593827869200,,Nifty 50,22-Dec-21,16865.55,16971,16819.5,16955.45,22/12/2021
His63865831593827869200,,Nifty 50,23-Dec-21,17066.8,17118.65,17015.55,17072.6,23/12/2021
His63865831593827869200,,Nifty 50,24-Dec-21,17149.5,17155.6,16909.6,17003.75,24/12/2021
His63865831593827869200,,Nifty 50,27-Dec-21,16937.75,17112.05,16833.2,17086.25,27/12/2021
His63865831593827869200,,Nifty 50,28-Dec-21,17177.6,17250.25,17161.15,17233.25,28/12/2021
His63865831593827869200,,Nifty 50,29-Dec-21,17220.1,17285.95,17176.65,17213.6,29/12/2021
His63865831593827869200,,Nifty 50,30-Dec-21,17201.45,17264.05,17146.35,17203.95,30/12/2021
His63865831593827869200,,Nifty 50,31-Dec-21,17244.5,17400.8,17238.5,17354.05,31/12/2021
His63865831593827869200,,Nifty 50,3-Jan-22,17387.15,17646.65,17383.3,17625.7,3/1/2022
His63865831593827869200,,Nifty 50,4-Jan-22,17681.4,17827.6,17593.55,17805.25,4/1/2022
His63865831593827869200,,Nifty 50,5-Jan-22,17820.1,17944.7,17748.85,17925.25,5/1/2022
His63865831593827869200,,Nifty 50,6-Jan-22,17768.5,17797.95,17655.55,17745.9,6/1/2022
His63865831593827869200,,Nifty 50,7-Jan-22,17797.6,17905,17704.55,17812.7,7/1/2022
His63865831593827869200,,Nifty 50,10-Jan-22,17913.3,18017.45,17879.15,18003.3,10/1/2022
His63865831593827869200,,Nifty 50,11-Jan-22,17997.75,18081.25,17964.4,18055.75,11/1/2022
His63865831593827869200,,Nifty 50,12-Jan-22,18170.4,18227.95,18128.8,18212.35,12/1/2022
His63865831593827869200,,Nifty 50,13-Jan-22,18257,18272.25,18163.8,18257.8,13/01/2022
His63865831593827869200,,Nifty 50,14-Jan-22,18185,18286.95,18119.65,18255.75,14/01/2022
His63865831593827869200,,Nifty 50,17-Jan-22,18235.65,18321.55,18228.75,18308.1,17/01/2022
His63865831593827869200,,Nifty 50,18-Jan-22,18337.2,18350.95,18085.9,18113.05,18/01/2022
His63865831593827869200,,Nifty 50,19-Jan-22,18129.2,18129.2,17884.9,17938.4,19/01/2022
His63865831593827869200,,Nifty 50,20-Jan-22,17921,17943.7,17648.45,17757,20/01/2022
His63865831593827869200,,Nifty 50,21-Jan-22,17613.7,17707.6,17485.85,17617.15,21/01/2022
His63865831593827869200,,Nifty 50,24-Jan-22,17575.15,17599.4,16997.85,17149.1,24/01/2022
His63865831593827869200,,Nifty 50,25-Jan-22,17001.55,17309.15,16836.8,17277.95,25/01/2022
His63865831593827869200,,Nifty 50,27-Jan-22,17062,17182.5,16866.75,17110.15,27/01/2022
His63865831593827869200,,Nifty 50,28-Jan-22,17208.3,17373.5,17077.1,17101.95,28/01/2022
His63865831593827869200,,Nifty 50,31-Jan-22,17301.05,17410,17264.15,17339.85,31/01/2022
His63865831593827869200,,Nifty 50,1-Feb-22,17529.45,17622.4,17244.55,17576.85,1/2/2022
His63865831593827869200,,Nifty 50,2-Feb-22,17706.2,17794.6,17674.8,17780,2/2/2022
His63865831593827869200,,Nifty 50,3-Feb-22,17767.75,17781.15,17511.15,17560.2,3/2/2022
His63865831593827869200,,Nifty 50,4-Feb-22,17590.2,17617.8,17462.55,17516.3,4/2/2022
His63865831593827869200,,Nifty 50,7-Feb-22,17456.3,17536.75,17119.4,17213.6,7/2/2022
His63865831593827869200,,Nifty 50,8-Feb-22,17279.85,17306.45,17043.65,17266.75,8/2/2022
His63865831593827869200,,Nifty 50,9-Feb-22,17370.1,17477.15,17339,17463.8,9/2/2022
His63865831593827869200,,Nifty 50,10-Feb-22,17554.1,17639.45,17427.15,17605.85,10/2/2022
His63865831593827869200,,Nifty 50,11-Feb-22,17451,17454.75,17303,17374.75,11/2/2022
His63865831593827869200,,Nifty 50,14-Feb-22,17076.15,17099.5,16809.65,16842.8,14/02/2022
His63865831593827869200,,Nifty 50,15-Feb-22,16933.25,17375,16839.25,17352.45,15/02/2022
His63865831593827869200,,Nifty 50,16-Feb-22,17408.45,17490.6,17257.7,17322.2,16/02/2022
His63865831593827869200,,Nifty 50,17-Feb-22,17396.55,17442.9,17235.85,17304.6,17/02/2022
His63865831593827869200,,Nifty 50,18-Feb-22,17236.05,17380.8,17219.2,17276.3,18/02/2022
His63865831593827869200,,Nifty 50,21-Feb-22,17192.25,17351.05,17070.7,17206.65,21/02/2022
His63865831593827869200,,Nifty 50,22-Feb-22,16847.95,17148.55,16843.8,17092.2,22/02/2022
His63865831593827869200,,Nifty 50,23-Feb-22,17194.5,17220.7,17027.85,17063.25,23/02/2022
His63865831593827869200,,Nifty 50,24-Feb-22,16548.9,16705.25,16203.25,16247.95,24/02/2022
